index	precision	recall	f1-score	platform	reference
PM2	0.8960468521229868	0.8693181818181818	0.882480173035328	franklin	P
PM4	1.0	0.16666666666666666	0.2857142857142857	franklin	P
PM5	0.2971887550200803	0.6491228070175439	0.40771349862258954	franklin	P
PM6	1.0	0.9318181818181818	0.9647058823529412	franklin	P
PP1	1.0	0.7973568281938326	0.8872549019607843	franklin	P
PP2	0.3	0.7894736842105263	0.4347826086956521	franklin	P
PP3	0.8370165745856354	0.8416666666666667	0.8393351800554018	franklin	P
PVS1	0.9696969696969697	0.8571428571428571	0.9099526066350709	franklin	LP
PS1	0.1111111111111111	0.5	0.1818181818181818	franklin	LP
PS2	1.0	0.7727272727272727	0.8717948717948718	franklin	LP
PS3	1.0	0.8294573643410853	0.9067796610169491	franklin	LP
PS4	0.9810126582278481	0.7828282828282829	0.8707865168539327	franklin	LP
PM1	0.26628895184135976	0.6962962962962963	0.38524590163934425	franklin	LP
PM2	0.8992	0.8992	0.8992000000000001	franklin	LP
PM5	0.313953488372093	0.7043478260869566	0.4343163538873995	franklin	LP
PM6	1.0	0.8888888888888888	0.9411764705882353	franklin	LP
PP1	1.0	0.7723577235772358	0.8715596330275228	franklin	LP
PP2	0.07407407407407407	0.7567567567567568	0.13493975903614458	franklin	LP
PP3	0.8172268907563025	0.8606194690265486	0.8383620689655171	franklin	LP
BS3	1.0	1.0	1.0	franklin	LP
PVS1	0.5714285714285714	0.8888888888888888	0.6956521739130435	franklin	VUS
PS2	1.0	0.75	0.8571428571428571	franklin	VUS
PS3	1.0	0.8148148148148148	0.8979591836734693	franklin	VUS
PS4	0.9573170731707317	0.8351063829787234	0.8920454545454547	franklin	VUS
PM1	0.3688760806916426	0.5925925925925926	0.4547069271758436	franklin	VUS
PM2	0.6068660022148394	0.8698412698412699	0.7149380300065231	franklin	VUS
PM4	1.0	0.3333333333333333	0.5	franklin	VUS
PM5	0.22818791946308725	0.6666666666666666	0.34	franklin	VUS
PM6	1.0	0.5	0.6666666666666666	franklin	VUS
PP1	1.0	0.8648648648648649	0.927536231884058	franklin	VUS
PP2	0.08755760368663594	0.6909090909090909	0.1554192229038855	franklin	VUS
PP3	0.6958955223880597	0.8438914027149321	0.7627811860940695	franklin	VUS
BA1	0.25	1.0	0.4	franklin	VUS
BS1	0.6666666666666666	0.43478260869565216	0.5263157894736841	franklin	VUS
BS2	0.23529411764705882	0.1111111111111111	0.1509433962264151	franklin	VUS
BS3	1.0	0.9166666666666666	0.9565217391304348	franklin	VUS
BP4	0.5384615384615384	0.21212121212121213	0.30434782608695654	franklin	VUS
BP7	0.2926829268292683	0.8888888888888888	0.4403669724770642	franklin	VUS
PM2	0.1811320754716981	0.96	0.30476190476190473	franklin	LB
PP2	0.06976744186046512	1.0	0.13043478260869565	franklin	LB
PP3	0.2631578947368421	0.7692307692307693	0.392156862745098	franklin	LB
BS1	0.9487179487179487	0.24666666666666667	0.39153439153439157	franklin	LB
BS2	0.2682926829268293	0.10679611650485436	0.15277777777777776	franklin	LB
BS3	1.0	0.9146341463414634	0.9554140127388536	franklin	LB
BP4	0.6481481481481481	0.18041237113402062	0.282258064516129	franklin	LB
BP7	0.7045454545454546	0.8532110091743119	0.7717842323651453	franklin	LB
PP2	0.039473684210526314	0.75	0.075	franklin	B
PP3	0.26666666666666666	1.0	0.4210526315789474	franklin	B
BA1	0.9957081545064378	0.5237020316027088	0.6863905325443788	franklin	B
BS1	0.08771929824561403	0.3125	0.136986301369863	franklin	B
BS2	0.14873417721518986	0.5949367088607594	0.2379746835443038	franklin	B
BS3	1.0	0.9666666666666667	0.983050847457627	franklin	B
BP4	0.3670886075949367	0.27884615384615385	0.31693989071038253	franklin	B
BP7	0.2209737827715356	0.921875	0.35649546827794565	franklin	B
